"","PKT","Bagging","RF"
"1",0.955555555555556,0.955555555555556,0.946666666666667
"2",0.973333333333333,0.964444444444444,0.96
"3",0.942222222222222,0.942222222222222,0.937777777777778
"4",0.968888888888889,0.955555555555556,0.96
"5",0.96,0.951111111111111,0.946666666666667
"6",0.928888888888889,0.951111111111111,0.96
"7",0.955555555555556,0.951111111111111,0.964444444444444
"8",0.951111111111111,0.942222222222222,0.96
"9",0.977777777777778,0.977777777777778,0.973333333333333
"10",0.942222222222222,0.942222222222222,0.946666666666667
"11",0.977777777777778,0.951111111111111,0.955555555555556
"12",0.968888888888889,0.96,0.96
"13",0.946666666666667,0.955555555555556,0.946666666666667
"14",0.973333333333333,0.951111111111111,0.96
"15",0.933333333333333,0.933333333333333,0.964444444444444
"16",0.96,0.96,0.96
"17",0.906666666666667,0.906666666666667,0.928888888888889
"18",0.933333333333333,0.933333333333333,0.955555555555556
"19",0.995555555555556,0.995555555555556,0.982222222222222
"20",0.933333333333333,0.933333333333333,0.964444444444444
"21",0.946666666666667,0.951111111111111,0.964444444444444
"22",0.933333333333333,0.933333333333333,0.924444444444444
"23",0.964444444444444,0.951111111111111,0.915555555555556
"24",0.977777777777778,0.977777777777778,0.973333333333333
"25",0.951111111111111,0.951111111111111,0.933333333333333
"26",0.924444444444444,0.924444444444444,0.946666666666667
"27",0.964444444444444,0.968888888888889,0.964444444444444
"28",0.92,0.928888888888889,0.946666666666667
"29",0.973333333333333,0.982222222222222,0.968888888888889
"30",0.973333333333333,0.955555555555556,0.964444444444444
"31",0.977777777777778,0.964444444444444,0.942222222222222
"32",0.928888888888889,0.933333333333333,0.92
"33",0.986666666666667,0.982222222222222,0.991111111111111
"34",0.96,0.973333333333333,0.946666666666667
"35",0.977777777777778,0.973333333333333,0.964444444444444
"36",0.96,0.951111111111111,0.973333333333333
"37",0.911111111111111,0.911111111111111,0.928888888888889
"38",0.955555555555556,0.96,0.973333333333333
"39",0.937777777777778,0.964444444444444,0.928888888888889
"40",0.951111111111111,0.942222222222222,0.942222222222222
"41",0.942222222222222,0.964444444444444,0.977777777777778
"42",0.955555555555556,0.911111111111111,0.933333333333333
"43",0.928888888888889,0.937777777777778,0.942222222222222
"44",0.973333333333333,0.955555555555556,0.968888888888889
"45",0.982222222222222,0.982222222222222,0.951111111111111
"46",0.937777777777778,0.933333333333333,0.933333333333333
"47",0.937777777777778,0.937777777777778,0.955555555555556
"48",0.937777777777778,0.928888888888889,0.942222222222222
"49",0.911111111111111,0.911111111111111,0.92
"50",0.924444444444444,0.924444444444444,0.946666666666667
"51",0.964444444444444,0.937777777777778,0.933333333333333
"52",0.951111111111111,0.937777777777778,0.946666666666667
"53",0.92,0.92,0.928888888888889
"54",0.982222222222222,0.973333333333333,0.964444444444444
"55",0.964444444444444,0.964444444444444,0.968888888888889
"56",0.924444444444444,0.92,0.928888888888889
"57",0.937777777777778,0.942222222222222,0.937777777777778
"58",0.924444444444444,0.924444444444444,0.924444444444444
"59",0.951111111111111,0.951111111111111,0.96
"60",0.964444444444444,0.964444444444444,0.964444444444444
"61",0.977777777777778,0.977777777777778,0.977777777777778
"62",0.951111111111111,0.951111111111111,0.955555555555556
"63",0.942222222222222,0.946666666666667,0.937777777777778
"64",0.955555555555556,0.955555555555556,0.96
"65",0.955555555555556,0.955555555555556,0.942222222222222
"66",0.915555555555556,0.915555555555556,0.955555555555556
"67",0.92,0.924444444444444,0.928888888888889
"68",0.928888888888889,0.924444444444444,0.96
"69",0.942222222222222,0.937777777777778,0.955555555555556
"70",0.928888888888889,0.937777777777778,0.951111111111111
"71",0.928888888888889,0.928888888888889,0.942222222222222
"72",0.964444444444444,0.955555555555556,0.951111111111111
"73",0.986666666666667,0.986666666666667,0.977777777777778
"74",0.964444444444444,0.955555555555556,0.951111111111111
"75",0.951111111111111,0.951111111111111,0.955555555555556
"76",0.973333333333333,0.968888888888889,0.96
"77",0.933333333333333,0.933333333333333,0.937777777777778
"78",0.951111111111111,0.951111111111111,0.968888888888889
"79",0.915555555555556,0.92,0.942222222222222
"80",0.951111111111111,0.946666666666667,0.937777777777778
"81",0.977777777777778,0.982222222222222,0.964444444444444
"82",0.973333333333333,0.964444444444444,0.964444444444444
"83",0.942222222222222,0.942222222222222,0.946666666666667
"84",0.951111111111111,0.924444444444444,0.924444444444444
"85",0.933333333333333,0.933333333333333,0.942222222222222
"86",0.937777777777778,0.937777777777778,0.951111111111111
"87",0.951111111111111,0.942222222222222,0.96
"88",0.973333333333333,0.964444444444444,0.968888888888889
"89",0.942222222222222,0.942222222222222,0.942222222222222
"90",0.951111111111111,0.964444444444444,0.964444444444444
"91",0.951111111111111,0.946666666666667,0.955555555555556
"92",0.946666666666667,0.946666666666667,0.942222222222222
"93",0.924444444444444,0.924444444444444,0.933333333333333
"94",0.951111111111111,0.96,0.964444444444444
"95",0.937777777777778,0.955555555555556,0.946666666666667
"96",0.92,0.928888888888889,0.937777777777778
"97",0.937777777777778,0.937777777777778,0.928888888888889
"98",0.946666666666667,0.928888888888889,0.933333333333333
"99",0.937777777777778,0.937777777777778,0.951111111111111
"100",0.973333333333333,0.977777777777778,0.951111111111111
