"","PKT","Bagging","RF"
"1",0.76303317535545,0.71563981042654,0.734597156398104
"2",0.734597156398104,0.791469194312796,0.800947867298578
"3",0.76303317535545,0.758293838862559,0.758293838862559
"4",0.805687203791469,0.781990521327014,0.781990521327014
"5",0.815165876777251,0.796208530805687,0.805687203791469
"6",0.76303317535545,0.796208530805687,0.796208530805687
"7",0.767772511848341,0.758293838862559,0.76303317535545
"8",0.748815165876777,0.786729857819905,0.791469194312796
"9",0.701421800947867,0.781990521327014,0.777251184834123
"10",0.81042654028436,0.815165876777251,0.819905213270142
"11",0.805687203791469,0.81042654028436,0.815165876777251
"12",0.786729857819905,0.772511848341232,0.739336492890995
"13",0.791469194312796,0.767772511848341,0.796208530805687
"14",0.758293838862559,0.800947867298578,0.81042654028436
"15",0.758293838862559,0.786729857819905,0.815165876777251
"16",0.781990521327014,0.805687203791469,0.815165876777251
"17",0.758293838862559,0.815165876777251,0.819905213270142
"18",0.758293838862559,0.791469194312796,0.786729857819905
"19",0.748815165876777,0.815165876777251,0.791469194312796
"20",0.76303317535545,0.81042654028436,0.786729857819905
"21",0.758293838862559,0.805687203791469,0.824644549763033
"22",0.76303317535545,0.777251184834123,0.805687203791469
"23",0.777251184834123,0.796208530805687,0.76303317535545
"24",0.781990521327014,0.805687203791469,0.819905213270142
"25",0.744075829383886,0.758293838862559,0.758293838862559
"26",0.739336492890995,0.76303317535545,0.772511848341232
"27",0.81042654028436,0.81042654028436,0.815165876777251
"28",0.81042654028436,0.781990521327014,0.796208530805687
"29",0.71563981042654,0.791469194312796,0.81042654028436
"30",0.748815165876777,0.748815165876777,0.76303317535545
"31",0.729857819905213,0.767772511848341,0.76303317535545
"32",0.786729857819905,0.819905213270142,0.848341232227488
"33",0.758293838862559,0.781990521327014,0.796208530805687
"34",0.777251184834123,0.805687203791469,0.772511848341232
"35",0.777251184834123,0.800947867298578,0.796208530805687
"36",0.734597156398104,0.781990521327014,0.786729857819905
"37",0.800947867298578,0.800947867298578,0.81042654028436
"38",0.744075829383886,0.781990521327014,0.786729857819905
"39",0.767772511848341,0.81042654028436,0.81042654028436
"40",0.777251184834123,0.786729857819905,0.76303317535545
"41",0.791469194312796,0.800947867298578,0.800947867298578
"42",0.781990521327014,0.819905213270142,0.791469194312796
"43",0.758293838862559,0.767772511848341,0.767772511848341
"44",0.734597156398104,0.781990521327014,0.781990521327014
"45",0.781990521327014,0.786729857819905,0.805687203791469
"46",0.777251184834123,0.781990521327014,0.781990521327014
"47",0.777251184834123,0.767772511848341,0.753554502369668
"48",0.772511848341232,0.81042654028436,0.829383886255924
"49",0.734597156398104,0.786729857819905,0.777251184834123
"50",0.748815165876777,0.767772511848341,0.772511848341232
"51",0.796208530805687,0.796208530805687,0.791469194312796
"52",0.81042654028436,0.81042654028436,0.819905213270142
"53",0.76303317535545,0.796208530805687,0.800947867298578
"54",0.76303317535545,0.815165876777251,0.800947867298578
"55",0.71563981042654,0.791469194312796,0.796208530805687
"56",0.748815165876777,0.753554502369668,0.777251184834123
"57",0.796208530805687,0.791469194312796,0.786729857819905
"58",0.772511848341232,0.81042654028436,0.824644549763033
"59",0.734597156398104,0.777251184834123,0.777251184834123
"60",0.791469194312796,0.772511848341232,0.772511848341232
"61",0.739336492890995,0.786729857819905,0.772511848341232
"62",0.791469194312796,0.767772511848341,0.815165876777251
"63",0.796208530805687,0.81042654028436,0.800947867298578
"64",0.76303317535545,0.781990521327014,0.800947867298578
"65",0.767772511848341,0.777251184834123,0.791469194312796
"66",0.815165876777251,0.777251184834123,0.781990521327014
"67",0.739336492890995,0.744075829383886,0.767772511848341
"68",0.758293838862559,0.81042654028436,0.81042654028436
"69",0.748815165876777,0.772511848341232,0.76303317535545
"70",0.725118483412322,0.777251184834123,0.777251184834123
"71",0.767772511848341,0.76303317535545,0.744075829383886
"72",0.796208530805687,0.805687203791469,0.805687203791469
"73",0.772511848341232,0.786729857819905,0.786729857819905
"74",0.781990521327014,0.772511848341232,0.777251184834123
"75",0.753554502369668,0.791469194312796,0.796208530805687
"76",0.777251184834123,0.805687203791469,0.824644549763033
"77",0.734597156398104,0.786729857819905,0.796208530805687
"78",0.781990521327014,0.81042654028436,0.81042654028436
"79",0.720379146919431,0.76303317535545,0.777251184834123
"80",0.781990521327014,0.772511848341232,0.786729857819905
"81",0.725118483412322,0.786729857819905,0.777251184834123
"82",0.76303317535545,0.777251184834123,0.753554502369668
"83",0.758293838862559,0.791469194312796,0.772511848341232
"84",0.753554502369668,0.777251184834123,0.791469194312796
"85",0.781990521327014,0.796208530805687,0.791469194312796
"86",0.76303317535545,0.815165876777251,0.815165876777251
"87",0.772511848341232,0.819905213270142,0.815165876777251
"88",0.748815165876777,0.781990521327014,0.777251184834123
"89",0.819905213270142,0.805687203791469,0.786729857819905
"90",0.772511848341232,0.777251184834123,0.767772511848341
"91",0.744075829383886,0.81042654028436,0.791469194312796
"92",0.720379146919431,0.758293838862559,0.748815165876777
"93",0.76303317535545,0.76303317535545,0.772511848341232
"94",0.767772511848341,0.815165876777251,0.819905213270142
"95",0.791469194312796,0.791469194312796,0.76303317535545
"96",0.800947867298578,0.81042654028436,0.81042654028436
"97",0.758293838862559,0.777251184834123,0.767772511848341
"98",0.76303317535545,0.800947867298578,0.791469194312796
"99",0.753554502369668,0.829383886255924,0.824644549763033
"100",0.805687203791469,0.81042654028436,0.791469194312796
